!
! ASCII generated by Digitized Shape Editor/CATIA
!
! Without Scans
! Point Format           = 'X %f Y %f Z %f'
!
! Total number of points = 36322
!
X -26.677170 Y 18.629200 Z -26.854891
X -26.614759 Y 18.641340 Z -26.911779
X -26.552259 Y 18.653580 Z -26.968599
X -26.489639 Y 18.665939 Z -27.025360
X -26.426910 Y 18.678400 Z -27.082050
X -26.364071 Y 18.690981 Z -27.138680
X -26.301121 Y 18.703650 Z -27.195250
X -26.238060 Y 18.716431 Z -27.251740
X -26.174879 Y 18.729330 Z -27.308170
X -26.111580 Y 18.742310 Z -27.364540
X -26.048161 Y 18.755409 Z -27.420830
X -25.984619 Y 18.768610 Z -27.477060
X -25.920959 Y 18.781910 Z -27.533211
X -25.857170 Y 18.795321 Z -27.589300
X -25.793249 Y 18.808821 Z -27.645330
X -25.729200 Y 18.822411 Z -27.701281
X -25.665001 Y 18.836121 Z -27.757160
X -25.600679 Y 18.849920 Z -27.812981
X -25.536200 Y 18.863810 Z -27.868731
X -25.471590 Y 18.877800 Z -27.924419
X -25.406830 Y 18.891899 Z -27.980040
X -25.341909 Y 18.906080 Z -28.035601
X -25.276850 Y 18.920361 Z -28.091101
X -25.211639 Y 18.934731 Z -28.146521
X -25.146271 Y 18.949200 Z -28.201870
X -25.080750 Y 18.963760 Z -28.257151
X -25.015070 Y 18.978411 Z -28.312349
X -24.949230 Y 18.993151 Z -28.367479
X -24.883240 Y 19.007999 Z -28.422529
X -24.817101 Y 19.022949 Z -28.477501
X -24.750811 Y 19.038010 Z -28.532400
X -24.684370 Y 19.053169 Z -28.587200
X -24.617781 Y 19.068480 Z -28.641930
X -24.551060 Y 19.083929 Z -28.696560
X -24.484240 Y 19.099440 Z -28.751110
X -24.417440 Y 19.114759 Z -28.805620
X -26.939791 Y 18.578590 Z -26.696011
X -26.877359 Y 18.590830 Z -26.752819
X -26.814939 Y 18.602980 Z -26.809401
X -26.752460 Y 18.615150 Z -26.865870
X -26.689871 Y 18.627439 Z -26.922270
X -26.627180 Y 18.639830 Z -26.978621
X -26.564369 Y 18.652330 Z -27.034910
X -26.501459 Y 18.664930 Z -27.091141
X -26.438431 Y 18.677629 Z -27.147310
X -26.375290 Y 18.690451 Z -27.203430
X -26.312040 Y 18.703360 Z -27.259480
X -26.248671 Y 18.716370 Z -27.315479
X -26.185169 Y 18.729490 Z -27.371410
X -26.121559 Y 18.742710 Z -27.427280
X -26.057819 Y 18.756020 Z -27.483089
X -25.993959 Y 18.769440 Z -27.538839
X -25.929970 Y 18.782949 Z -27.594530
X -25.865841 Y 18.796570 Z -27.650150
X -25.801580 Y 18.810280 Z -27.705709
X -25.737190 Y 18.824080 Z -27.761221
X -25.672649 Y 18.837980 Z -27.816660
X -25.607969 Y 18.851971 Z -27.872040
X -25.543131 Y 18.866051 Z -27.927361
X -25.478149 Y 18.880239 Z -27.982630
X -25.413031 Y 18.894501 Z -28.037840
X -25.347740 Y 18.908871 Z -28.093000
X -25.282301 Y 18.923321 Z -28.148100
X -25.216690 Y 18.937860 Z -28.203131
X -25.150930 Y 18.952499 Z -28.258101
X -25.085011 Y 18.967211 Z -28.313009
X -25.018921 Y 18.982019 Z -28.367849
X -24.952681 Y 18.996920 Z -28.422630
X -24.886271 Y 19.011909 Z -28.477329
X -24.819710 Y 19.027000 Z -28.531960
X -24.752991 Y 19.042200 Z -28.586531
X -24.686110 Y 19.057510 Z -28.641010
X -24.619101 Y 19.072960 Z -28.695419
X -24.551941 Y 19.088551 Z -28.749741
X -24.484680 Y 19.104210 Z -28.803989
X -24.417419 Y 19.119600 Z -28.858200
X -26.953751 Y 18.575951 Z -26.765909
X -26.890989 Y 18.588449 Z -26.822140
X -26.828260 Y 18.600861 Z -26.878170
X -26.765499 Y 18.613279 Z -26.934071
X -26.702620 Y 18.625820 Z -26.989929
X -26.639641 Y 18.638451 Z -27.045731
X -26.576540 Y 18.651190 Z -27.101480
X -26.513330 Y 18.664040 Z -27.157169
X -26.450001 Y 18.676979 Z -27.212820
X -26.386560 Y 18.690029 Z -27.268410
X -26.323000 Y 18.703171 Z -27.323950
X -26.259310 Y 18.716419 Z -27.379431
X -26.195511 Y 18.729759 Z -27.434860
X -26.131571 Y 18.743200 Z -27.490231
X -26.067511 Y 18.756729 Z -27.545549
X -26.003330 Y 18.770361 Z -27.600821
X -25.938999 Y 18.784081 Z -27.656019
X -25.874550 Y 18.797899 Z -27.711170
X -25.809950 Y 18.811810 Z -27.766270
X -25.745211 Y 18.825809 Z -27.821310
X -25.680321 Y 18.839899 Z -27.876301
X -25.615280 Y 18.854080 Z -27.931240
X -25.550100 Y 18.868361 Z -27.986130
X -25.484751 Y 18.882721 Z -28.040970
X -25.419250 Y 18.897169 Z -28.095760
X -25.353590 Y 18.911699 Z -28.150511
X -25.287760 Y 18.926331 Z -28.205200
X -25.221769 Y 18.941031 Z -28.259840
X -25.155609 Y 18.955820 Z -28.314430
X -25.089291 Y 18.970690 Z -28.368959
X -25.022800 Y 18.985649 Z -28.423420
X -24.956141 Y 19.000700 Z -28.477840
X -24.889311 Y 19.015841 Z -28.532190
X -24.822330 Y 19.031059 Z -28.586470
X -24.755180 Y 19.046400 Z -28.640690
X -24.687870 Y 19.061859 Z -28.694851
X -24.620420 Y 19.077440 Z -28.748930
X -24.552820 Y 19.093170 Z -28.802940
X -24.485109 Y 19.108940 Z -28.856880
X -24.417410 Y 19.124420 Z -28.910770
X -26.967760 Y 18.573469 Z -26.836100
X -26.904659 Y 18.586220 Z -26.891750
X -26.841640 Y 18.598890 Z -26.947201
X -26.778589 Y 18.611570 Z -27.002550
X -26.715429 Y 18.624340 Z -27.057840
X -26.652149 Y 18.637230 Z -27.113091
X -26.588760 Y 18.650200 Z -27.168289
X -26.525249 Y 18.663290 Z -27.223440
X -26.461620 Y 18.676460 Z -27.278549
X -26.397869 Y 18.689739 Z -27.333611
X -26.334000 Y 18.703110 Z -27.388630
X -26.270000 Y 18.716570 Z -27.443590
X -26.205879 Y 18.730141 Z -27.498510
X -26.141630 Y 18.743790 Z -27.553379
X -26.077250 Y 18.757530 Z -27.608200
X -26.012730 Y 18.771370 Z -27.662970
X -25.948080 Y 18.785299 Z -27.717690
X -25.883289 Y 18.799320 Z -27.772360
X -25.818350 Y 18.813419 Z -27.826981
X -25.753260 Y 18.827620 Z -27.881559
X -25.688021 Y 18.841900 Z -27.936090
X -25.622629 Y 18.856270 Z -27.990580
X -25.557079 Y 18.870720 Z -28.045019
X -25.491369 Y 18.885260 Z -28.099421
X -25.425501 Y 18.899870 Z -28.153790
X -25.359461 Y 18.914579 Z -28.208120
X -25.293249 Y 18.929359 Z -28.262400
X -25.226860 Y 18.944229 Z -28.316641
X -25.160311 Y 18.959169 Z -28.370831
X -25.093590 Y 18.974199 Z -28.424971
X -25.026690 Y 18.989309 Z -28.479071
X -24.959610 Y 19.004490 Z -28.533110
X -24.892370 Y 19.019770 Z -28.587099
X -24.824961 Y 19.035139 Z -28.641029
X -24.757380 Y 19.050600 Z -28.694901
X -24.689640 Y 19.066191 Z -28.748720
X -24.621750 Y 19.081909 Z -28.802469
X -24.553711 Y 19.097771 Z -28.856150
X -24.485559 Y 19.113670 Z -28.909769
X -24.417391 Y 19.129240 Z -28.963329
X -26.981831 Y 18.571150 Z -26.906570
X -26.918390 Y 18.584160 Z -26.961620
X -26.855070 Y 18.597071 Z -27.016491
X -26.791731 Y 18.610001 Z -27.071260
X -26.728279 Y 18.623020 Z -27.125990
X -26.664709 Y 18.636141 Z -27.180679
X -26.601021 Y 18.649349 Z -27.235331
X -26.537210 Y 18.662661 Z -27.289930
X -26.473280 Y 18.676069 Z -27.344500
X -26.409220 Y 18.689569 Z -27.399031
X -26.345039 Y 18.703159 Z -27.453510
X -26.280729 Y 18.716850 Z -27.507950
X -26.216290 Y 18.730619 Z -27.562349
X -26.151720 Y 18.744490 Z -27.616699
X -26.087021 Y 18.758430 Z -27.671009
X -26.022169 Y 18.772480 Z -27.725281
X -25.957190 Y 18.786610 Z -27.779510
X -25.892050 Y 18.800819 Z -27.833691
X -25.826780 Y 18.815121 Z -27.887840
X -25.761351 Y 18.829500 Z -27.941940
X -25.695749 Y 18.843969 Z -27.996000
X -25.630011 Y 18.858509 Z -28.050030
X -25.564100 Y 18.873140 Z -28.104031
X -25.498020 Y 18.887850 Z -28.157990
X -25.431770 Y 18.902639 Z -28.211920
X -25.365351 Y 18.917509 Z -28.265820
X -25.298750 Y 18.932449 Z -28.319691
X -25.231979 Y 18.947470 Z -28.373520
X -25.165030 Y 18.962570 Z -28.427311
X -25.097900 Y 18.977730 Z -28.481060
X -25.030590 Y 18.992979 Z -28.534769
X -24.963110 Y 19.008301 Z -28.588430
X -24.895439 Y 19.023720 Z -28.642050
X -24.827600 Y 19.039209 Z -28.695620
X -24.759590 Y 19.054810 Z -28.749140
X -24.691410 Y 19.070520 Z -28.802610
X -24.623079 Y 19.086370 Z -28.856030
X -24.554600 Y 19.102360 Z -28.909380
X -24.486000 Y 19.118389 Z -28.962669
X -24.417379 Y 19.134029 Z -29.015900
X -26.995951 Y 18.569010 Z -26.977280
X -26.932171 Y 18.582279 Z -27.031740
X -26.868549 Y 18.595430 Z -27.086020
